Date,Group_Factor,Pre_Test,Post_Test,Asset_Price,Asset_Stock_Price,Binary_Item1,Binary_Item2,Binary_Item3,Binary_Item4,Binary_Item5,Income,Satisfaction
2026-01-01,Control, 55, 68, 120.50, 45.2, 1, 0, 1, 0, 1, 3500, 4
2026-01-02,Control, 58, 71, 122.10, 46.0, 1, 1, 1, 0, 0, 4200, 3
2026-01-03,Control, 51, 65, 119.80, 44.8, 0, 0, 1, 0, 1, 3100, 5
2026-01-04,Control, 60, 75, 121.40, 45.9, 1, 1, 0, 1, 1, 4800, 4
2026-01-05,Control, 62, 74, 123.50, 47.1, 1, 1, 1, 1, 1, 5200, 4
2026-01-06,TreatmentA, 64, 82, 124.20, 46.8, 1, 0, 1, 0, 0, 4300, 5
2026-01-07,TreatmentA, 67, 85, 122.90, 45.9, 0, 0, 0, 1, 0, 4900, 4
2026-01-08,TreatmentA, 59, 78, 125.10, 47.5, 1, 1, 1, 1, 0, 3800, 3
2026-01-09,TreatmentA, 61, 80, 127.00, 48.2, 1, 1, 0, 1, 1, 4100, 5
2026-01-10,TreatmentA, 63, 84, 126.40, 47.9, 1, 1, 1, 1, 1, 4700, 4
2026-01-11,TreatmentB, 70, 91, 124.80, 46.5, 0, 1, 1, 0, 0, 5400, 4
2026-01-12,TreatmentB, 72, 94, 123.00, 45.1, 1, 0, 0, 1, 1, 6200, 5
2026-01-13,TreatmentB, 68, 88, 125.60, 47.0, 1, 1, 1, 0, 0, 5800, 3
2026-01-14,TreatmentB, 74, 98, 128.30, 49.3, 1, 1, 1, 1, 1, 6500, 5
2026-01-15,TreatmentB, 71, 95, 130.10, 50.8, 1, 1, 1, 1, 0, 5900, 4
2026-01-16,TreatmentB, 73, 96, 129.20, 50.1, 0, 1, 0, 1, 0, 6000, 3
2026-01-17,TreatmentA, 65, 83, 128.50, 49.6, 1, 1, 1, 0, 1, 4500, 4
2026-01-18,TreatmentA, 66, 84, 127.10, 48.4, 1, 0, 1, 1, 1, 4600, 4
2026-01-19,Control, 56, 69, 125.80, 47.2, 0, 1, 1, 0, 0, 3700, 2
2026-01-20,Control, 54, 67, 126.90, 47.8, 1, 0, 1, 0, 1, 3300, 4
