Date,Close_Price,Student_ID,Pre_Score,Post_Score,Psych_Item1,Psych_Item2,Psych_Item3,Psych_Item4,Psych_Item5,Psych_Item6,Psych_Item7,Group_Factor
2026-05-01,150.25,1001,45,78,1,1,0,1,1,1,0,Control
2026-05-02,151.40,1002,50,82,1,0,0,1,1,1,1,Treatment
2026-05-03,150.90,1003,38,62,0,1,0,0,1,0,0,Control
2026-05-04,152.10,1004,62,90,1,1,1,1,1,1,1,Treatment
2026-05-05,153.20,1005,41,71,1,0,0,0,1,0,1,Control
2026-05-06,155.05,1006,55,85,1,1,0,1,1,1,1,Treatment
2026-05-07,154.30,1007,48,77,0,1,0,0,1,1,0,Control
2026-05-08,155.80,1008,60,94,1,1,1,1,1,1,1,Treatment
2026-05-09,156.10,1009,42,75,1,0,0,1,1,0,1,Control
2026-05-10,157.50,1010,58,88,1,1,1,1,1,1,1,Treatment
2026-05-11,158.20,1011,40,70,0,0,0,0,1,0,0,Control
2026-05-12,159.00,1012,52,80,1,1,1,1,1,1,1,Treatment
2026-05-13,157.90,1013,44,73,1,0,0,0,1,1,0,Control
2026-05-14,158.40,1014,56,86,1,1,1,1,1,1,1,Treatment
2026-05-15,160.05,1015,49,79,1,1,0,1,1,1,0,Control
2026-05-16,161.20,1016,59,92,1,1,1,1,1,1,1,Treatment
2026-05-17,162.50,1017,35,60,0,0,0,0,0,0,0,Control
2026-05-18,161.80,1018,65,98,1,1,1,1,1,1,1,Treatment
2026-05-19,160.40,1019,43,74,1,0,0,0,1,1,1,Control
2026-05-20,161.10,1020,54,84,1,1,1,1,1,1,1,Treatment
